,Country,time ,Armed forces occupations_Female,Armed forces occupations_Male,Managers_Female,Managers_Male,Professionals_Female,Professionals_Male,Technicians and associate professionals_Female,Technicians and associate professionals_Male,Clerical support workers_Female,Clerical support workers_Male,Service and sales workers_Female,Service and sales workers_Male,"Skilled agricultural, forestry and fishery workers_Female","Skilled agricultural, forestry and fishery workers_Male",Craft and related trades workers_Female,Craft and related trades workers_Male,"Plant and machine operators, and assemblers_Female","Plant and machine operators, and assemblers_Male",Elementary_Female,Elementary_Male
108,Chile,2013,2051.38,3416.18,6335.93,7370.17,5406.66,7924.98,3050.65,3928.01,2356.45,2322.67,1628.25,2137.67,1221.24,1552.11,1441.05,2045.91,1576.19,2177.59,1442.87,1497.31
132,Colombia,2022,15349.75,14412.77,15064.15,14652.96,15709.11,17945.56,9512.37,10291.91,7210.51,7557.54,5140.74,5840.74,4918.77,4601.16,4726.7,5717.3,4984.35,5842.99,4662.04,4703.48
133,Colombia,2023,14444.65,14857.41,15929.88,16142.17,17462.05,19211.15,10896.26,11368.09,8007.67,8128.9,5720.87,6551.05,5398.76,5507.57,5805.35,6558.83,5631.74,6675.65,5413.98,5385.94
134,Colombia,2024,16991.89,14890.7,19663.12,18450.87,20729.17,22768.54,12360.94,13165.88,9241.88,9240.92,6543.65,7450.08,5821.38,5956.31,6778.68,7256.31,6534.84,7311.01,6109.16,5973.79
137,Congo,2009,1086.98,857.12,1168.87,1860.73,880.31,815.91,770.96,980.12,671.79,539.87,397.6,371.71,1112.31,463.92,466.07,421.85,411.03,1034.38,271.53,288.81
160,Czechia,2012,133.17,134.76,260.94,373.51,178.02,247.67,147.63,183.64,121.74,147.88,88.79,103.52,94.38,105.44,97.92,127.46,106.03,126.5,76.42,96.54
161,Czechia,2013,133.95,135.1,265.27,362.31,182.56,253.45,149.92,187.52,125.44,148.32,90.85,105.42,100.03,111.07,98.72,131.49,107.42,127.38,77.72,97.9
162,Czechia,2014,144.54,141.26,272.85,373.55,187.26,261.03,154.62,192.49,127.83,151.46,92.62,111.31,103.38,115.37,101.6,134.87,109.81,130.09,79.84,99.94
163,Czechia,2015,163.32,157.58,279.54,384.79,191.47,265.75,157.8,196.44,127.65,156.07,95.09,113.02,105.2,116.47,108.06,139.82,116.67,135.65,82.22,101.53
164,Czechia,2016,189.1,180.6,282.6,387.2,199.8,274.2,164.9,205.2,133.2,163.2,103.1,119.2,106.5,123.8,113.9,145.8,122.8,141.6,87.8,109.1
165,Czechia,2017,207.3,197.7,302.4,414.6,215.4,295.8,177.7,219.6,141.9,173.7,113.3,130.6,115.1,130.0,124.4,157.2,134.5,152.5,96.5,117.7
166,Czechia,2018,233.5,222.5,320.1,434.7,233.2,315.0,191.9,234.9,152.4,186.9,126.3,143.1,122.1,137.3,137.2,168.6,146.8,166.0,103.6,127.2
167,Czechia,2019,243.0,233.0,360.9,504.0,258.1,342.7,207.9,251.3,165.3,195.2,138.8,159.0,134.9,151.2,147.7,183.4,155.9,176.5,111.2,131.4
168,Czechia,2020,24.52,23.59,387.9,525.9,277.7,358.1,221.8,259.3,173.0,203.8,150.5,174.4,141.5,158.7,153.3,188.8,162.6,183.2,120.2,139.2
173,Dominican Republic,2015,146.13,64.63,276.29,198.27,178.87,202.15,105.57,100.91,61.65,76.62,51.6,51.13,38.64,47.78,42.45,61.74,44.72,65.23,45.52,45.51
